Actor1,Actor2,Actor3,Actor4
William Shatner	Peter Gallagher	Hope Davis	Kevin Kline
Meryl Streep	Finn Wolfhard	Kenneth Branagh	Kevin Costner
William Shatner	Peter Gallagher	Hope Davis	Kevin Kline
Dianne Wiest	Jennifer Tilly	Cate Blanchett	Joel Murray
Anthony Hopkins	Kevin Kline	Winona Ryder	Robin Williams
Scarlett Johansson	Chris Evans	Bonnie Hunt	Joaquim de Almeida
William Shatner	Peter Gallagher	Hope Davis	Kevin Kline
Actor1,Actor2,Actor3,Actor4
Julianne Moore	Robert Duvall	Julianne Moore	Robert Duvall
Meryl Streep	Brad Pitt	Meryl Streep	Matt Damon
Johnny Depp	Jessica Chastain	Jessica Chastain	Johnny Depp
Morgan Freeman	Morgan Freeman	Anthony Hopkins	Morgan Freeman
Anthony Hopkins	Anthony Hopkins	Natalie Portman	Anthony Hopkins
Mark Ruffalo	Mark Ruffalo	Jude Law	Clive Owen
Julianne Moore	Julianne Moore	Julianne Moore	Vince Vaughn
Actor1,Actor2,Actor3,Actor4
William Shatner	Peter Gallagher	Hope Davis	Kevin Kline
Meryl Streep	Finn Wolfhard	Kenneth Branagh	Kevin Costner
William Shatner	Peter Gallagher	Hope Davis	Kevin Kline
Dianne Wiest	Jennifer Tilly	Cate Blanchett	Joel Murray
Anthony Hopkins	Kevin Kline	Winona Ryder	Robin Williams
Scarlett Johansson	Chris Evans	Bonnie Hunt	Joaquim de Almeida
William Shatner	Peter Gallagher	Hope Davis	Kevin Kline
